"header","title","titleUrl","time","products","activityControls","description","details","subtitles"
"YouTube","Searched for bbox","https://www.youtube.com/results?search_query\u003dbbox","2023-06-02T02:54:14.645Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for bobox","https://www.youtube.com/results?search_query\u003dbobox","2023-06-02T02:54:10.950Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for half life short film","https://www.youtube.com/results?search_query\u003dhalf+life+short+film","2023-06-02T02:43:18.172Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for half life","https://www.youtube.com/results?search_query\u003dhalf+life","2023-06-02T02:43:04.024Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for i am getting an unpaid internship ","https://www.youtube.com/results?search_query\u003di+am+getting+an+unpaid+internship+","2023-06-01T23:52:32.349Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for dalmore group","https://www.youtube.com/results?search_query\u003ddalmore+group","2023-06-01T23:50:41.906Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for dalmore group review","https://www.youtube.com/results?search_query\u003ddalmore+group+review","2023-06-01T23:50:32.507Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for what to do if i got a unpaid internship","https://www.youtube.com/results?search_query\u003dwhat+to+do+if+i+got+a+unpaid+internship","2023-06-01T23:45:24.794Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for christian contemporary instrumental music","https://www.youtube.com/results?search_query\u003dchristian+contemporary+instrumental+music","2023-06-01T14:48:01.796Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for l4d2 short film","https://www.youtube.com/results?search_query\u003dl4d2+short+film","2023-06-01T07:48:18.673Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for 神话","https://www.youtube.com/results?search_query\u003d%E7%A5%9E%E8%AF%9D","2023-06-01T07:08:01.292Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for seven hour war","https://www.youtube.com/results?search_query\u003dseven+hour+war","2023-05-31T13:15:39.674Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Why don\u0027t you like me dad","https://www.youtube.com/results?search_query\u003dWhy+don%27t+you+like+me+dad","2023-05-31T12:30:32.693Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for half life short film","https://www.youtube.com/results?search_query\u003dhalf+life+short+film","2023-05-31T05:27:59.425Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for dye fantasy","https://www.youtube.com/results?search_query\u003ddye+fantasy","2023-05-31T02:40:26.749Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Microsoft Certified: Azure Enterprise Data Analyst Associate","https://www.youtube.com/results?search_query\u003dMicrosoft+Certified:+Azure+Enterprise+Data+Analyst+Associate","2023-05-30T18:31:19.913Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
